TimeStamp,Voltage,ppm
19/12/2016-02:48:39,4.2098,-47.5
19/12/2016-02:48:40,4.2098,-47.5
19/12/2016-02:48:40,4.2097,-71.3
19/12/2016-02:48:41,4.2096,-95
19/12/2016-02:48:41,4.2096,-95
19/12/2016-02:48:42,4.2096,-95
19/12/2016-02:48:42,4.2096,-95
19/12/2016-02:48:43,4.2097,-71.3
19/12/2016-02:48:43,4.2097,-71.3
19/12/2016-02:48:44,4.2097,-71.3
19/12/2016-02:48:44,4.2097,-71.3
19/12/2016-02:48:45,4.2097,-71.3
19/12/2016-02:48:45,4.2097,-71.3
19/12/2016-02:48:46,4.2097,-71.3
19/12/2016-02:48:46,4.2097,-71.3
19/12/2016-02:48:47,4.2096,-95
19/12/2016-02:48:48,4.2096,-95
19/12/2016-02:48:48,4.2096,-95
19/12/2016-02:48:49,4.2096,-95
19/12/2016-02:48:49,4.2096,-95
19/12/2016-02:48:50,4.2096,-95
19/12/2016-02:48:50,4.2096,-95
19/12/2016-02:48:51,4.2096,-95
19/12/2016-02:48:51,4.2096,-95
19/12/2016-02:48:52,4.2096,-95
19/12/2016-02:48:52,4.2096,-95
19/12/2016-02:48:53,4.2096,-95
19/12/2016-02:48:53,4.2096,-95
19/12/2016-02:48:54,4.2096,-95
19/12/2016-02:48:54,4.2096,-95
19/12/2016-02:48:55,4.2096,-95
19/12/2016-02:48:56,4.2096,-95
19/12/2016-02:48:56,4.2096,-95
19/12/2016-02:48:57,4.2096,-95
19/12/2016-02:48:57,4.2097,-71.3
19/12/2016-02:48:58,4.2097,-71.3
19/12/2016-02:48:58,4.2097,-71.3
19/12/2016-02:48:59,4.2097,-71.3
19/12/2016-02:48:59,4.2097,-71.3
19/12/2016-02:49:00,4.2097,-71.3
19/12/2016-02:49:00,4.2097,-71.3
19/12/2016-02:49:01,4.2097,-71.3
19/12/2016-02:49:01,4.2097,-71.3
19/12/2016-02:49:02,4.2097,-71.3
19/12/2016-02:49:02,4.2097,-71.3
19/12/2016-02:49:03,4.2097,-71.3
19/12/2016-02:49:04,4.2097,-71.3
19/12/2016-02:49:04,4.2097,-71.3
19/12/2016-02:49:05,4.2097,-71.3
19/12/2016-02:49:05,4.2097,-71.3
19/12/2016-02:49:06,4.2097,-71.3
19/12/2016-02:49:06,4.2097,-71.3
19/12/2016-02:49:07,4.2097,-71.3
19/12/2016-02:49:07,4.2097,-71.3
19/12/2016-02:49:08,4.2097,-71.3
19/12/2016-02:49:08,4.2097,-71.3
19/12/2016-02:49:09,4.2097,-71.3
19/12/2016-02:49:09,4.2097,-71.3
19/12/2016-02:49:10,4.2097,-71.3
19/12/2016-02:49:10,4.2097,-71.3
19/12/2016-02:49:11,4.2097,-71.3
19/12/2016-02:49:12,4.2097,-71.3
19/12/2016-02:49:12,4.2097,-71.3
19/12/2016-02:49:13,4.2097,-71.3
19/12/2016-02:49:13,4.2097,-71.3
19/12/2016-02:49:14,4.2097,-71.3
19/12/2016-02:49:14,4.2097,-71.3
19/12/2016-02:49:15,4.2097,-71.3
19/12/2016-02:49:15,4.2097,-71.3
19/12/2016-02:49:16,4.2097,-71.3
19/12/2016-02:49:16,4.2097,-71.3
19/12/2016-02:49:17,4.2097,-71.3
19/12/2016-02:49:17,4.2097,-71.3
19/12/2016-02:49:18,4.2097,-71.3
19/12/2016-02:49:18,4.2097,-71.3
19/12/2016-02:49:19,4.2097,-71.3
19/12/2016-02:49:24,4.2097,-71.3
19/12/2016-02:49:24,4.2097,-71.3
19/12/2016-02:49:25,4.2097,-71.3
19/12/2016-02:49:25,4.2097,-71.3
19/12/2016-02:49:26,4.2097,-71.3
19/12/2016-02:49:26,4.2097,-71.3
19/12/2016-02:49:27,4.2097,-71.3
19/12/2016-02:49:27,4.2097,-71.3
19/12/2016-02:49:28,4.2097,-71.3
19/12/2016-02:49:28,4.2097,-71.3
19/12/2016-02:49:29,4.2097,-71.3
19/12/2016-02:49:30,4.2097,-71.3
19/12/2016-02:49:30,4.2097,-71.3
19/12/2016-02:49:31,4.2097,-71.3
19/12/2016-02:49:31,4.2097,-71.3
19/12/2016-02:49:32,4.2097,-71.3
19/12/2016-02:49:32,4.2097,-71.3
19/12/2016-02:49:33,4.2097,-71.3
19/12/2016-02:49:33,4.2097,-71.3
19/12/2016-02:49:34,4.2097,-71.3
19/12/2016-02:49:34,4.2097,-71.3
19/12/2016-02:49:35,4.2097,-71.3
19/12/2016-02:49:35,4.2097,-71.3
19/12/2016-02:49:36,4.2097,-71.3
19/12/2016-02:49:36,4.2097,-71.3
19/12/2016-02:49:37,4.2097,-71.3
19/12/2016-02:49:38,4.2097,-71.3
19/12/2016-02:49:38,4.2097,-71.3
19/12/2016-02:49:39,4.2097,-71.3
19/12/2016-02:49:39,4.2097,-71.3
19/12/2016-02:49:40,4.2097,-71.3
19/12/2016-02:49:40,4.2097,-71.3
19/12/2016-02:49:41,4.2097,-71.3
19/12/2016-02:49:41,4.2097,-71.3
19/12/2016-02:49:42,4.2097,-71.3
19/12/2016-02:49:42,4.2097,-71.3
19/12/2016-02:49:43,4.2097,-71.3
19/12/2016-02:49:43,4.2097,-71.3
19/12/2016-02:49:44,4.2097,-71.3
19/12/2016-02:49:44,4.2097,-71.3
19/12/2016-02:49:45,4.2097,-71.3
