TimeStamp,Voltage,ppm
18/12/2016-15:04:11,16.37068950,-25554.2
18/12/2016-15:04:12,16.37070370,-25553.4
18/12/2016-15:04:12,16.37069560,-25553.8
18/12/2016-15:04:13,16.37067800,-25554.9
18/12/2016-15:04:13,16.37067880,-25554.8
18/12/2016-15:04:14,16.37069890,-25553.6
18/12/2016-15:04:14,16.37067370,-25555.1
18/12/2016-15:04:15,16.37072950,-25551.8
18/12/2016-15:04:15,16.37068260,-25554.6
18/12/2016-15:04:16,16.37067940,-25554.8
18/12/2016-15:04:16,16.37068580,-25554.4
18/12/2016-15:04:17,16.37071180,-25552.9
18/12/2016-15:04:17,16.37070950,-25553.0
18/12/2016-15:04:18,16.37069580,-25553.8
18/12/2016-15:04:18,16.37070940,-25553.0
18/12/2016-15:04:18,16.37072030,-25552.4
18/12/2016-15:04:19,16.37073120,-25551.7
18/12/2016-15:04:19,16.37067500,-25555.1
18/12/2016-15:04:20,16.37067760,-25554.9
18/12/2016-15:04:20,16.37069070,-25554.1
18/12/2016-15:04:21,16.37071730,-25552.5
18/12/2016-15:04:21,16.37072000,-25552.4
18/12/2016-15:04:22,16.37069180,-25554.1
18/12/2016-15:04:22,16.37069170,-25554.1
18/12/2016-15:04:23,16.37069810,-25553.7
18/12/2016-15:04:23,16.37069610,-25553.8
18/12/2016-15:04:24,16.37066730,-25555.5
18/12/2016-15:04:24,16.37068640,-25554.4
18/12/2016-15:04:24,16.37070520,-25553.3
18/12/2016-15:04:25,16.37069210,-25554.0
18/12/2016-15:04:25,16.37070870,-25553.1
18/12/2016-15:04:26,16.37067190,-25555.2
18/12/2016-15:04:26,16.37069430,-25553.9
18/12/2016-15:04:27,16.37071520,-25552.7
18/12/2016-15:04:27,16.37068880,-25554.2
18/12/2016-15:04:28,16.37067980,-25554.8
18/12/2016-15:04:28,16.37073410,-25551.5
18/12/2016-15:04:29,16.37072090,-25552.3
18/12/2016-15:04:29,16.37069370,-25553.9
18/12/2016-15:04:30,16.37069900,-25553.6
18/12/2016-15:04:30,16.37070760,-25553.1
18/12/2016-15:04:31,16.37071120,-25552.9
18/12/2016-15:04:31,16.37069490,-25553.9
18/12/2016-15:04:31,16.37067730,-25554.9
18/12/2016-15:04:32,16.37071760,-25552.5
18/12/2016-15:04:32,16.37071790,-25552.5
18/12/2016-15:04:33,16.37069750,-25553.7
18/12/2016-15:04:33,16.37069630,-25553.8
18/12/2016-15:04:34,16.37070180,-25553.5
18/12/2016-15:04:34,16.37070540,-25553.3
18/12/2016-15:04:35,16.37068180,-25554.7
18/12/2016-15:04:35,16.37072770,-25551.9
18/12/2016-15:04:36,16.37071840,-25552.5
18/12/2016-15:04:36,16.37070250,-25553.4
18/12/2016-15:04:37,16.37068910,-25554.2
18/12/2016-15:04:37,16.37069580,-25553.8
18/12/2016-15:04:37,16.37069580,-25553.8
18/12/2016-15:04:38,16.37069970,-25553.6
18/12/2016-15:04:38,16.37070000,-25553.6
18/12/2016-15:04:39,16.37070460,-25553.3
18/12/2016-15:04:39,16.37067890,-25554.8
18/12/2016-15:04:40,16.37072020,-25552.4
18/12/2016-15:04:40,16.37073860,-25551.3
18/12/2016-15:04:41,16.37067660,-25555.0
18/12/2016-15:04:41,16.37069100,-25554.1
18/12/2016-15:04:42,16.37070770,-25553.1
18/12/2016-15:04:42,16.37072180,-25552.3
18/12/2016-15:04:43,16.37067260,-25555.2
18/12/2016-15:04:43,16.37070650,-25553.2
18/12/2016-15:04:44,16.37070180,-25553.5
18/12/2016-15:04:44,16.37068930,-25554.2
18/12/2016-15:04:44,16.37069090,-25554.1
18/12/2016-15:04:45,16.37069080,-25554.1
18/12/2016-15:04:45,16.37070760,-25553.1
18/12/2016-15:04:46,16.37070790,-25553.1
18/12/2016-15:04:46,16.37069170,-25554.1
18/12/2016-15:04:47,16.37069430,-25553.9
18/12/2016-15:04:47,16.37070490,-25553.3
18/12/2016-15:04:48,16.37071290,-25552.8
18/12/2016-15:04:48,16.37070300,-25553.4
18/12/2016-15:04:49,16.37070190,-25553.5
18/12/2016-15:04:49,16.37072040,-25552.4
18/12/2016-15:04:50,16.37068330,-25554.6
18/12/2016-15:04:50,16.37070970,-25553.0
18/12/2016-15:04:50,16.37071070,-25552.9
18/12/2016-15:04:51,16.37066370,-25555.7
18/12/2016-15:04:51,16.37070210,-25553.4
18/12/2016-15:04:52,16.37068600,-25554.4
18/12/2016-15:04:52,16.37068370,-25554.5
18/12/2016-15:04:53,16.37070880,-25553.0
18/12/2016-15:04:53,16.37068490,-25554.5
18/12/2016-15:04:54,16.37070070,-25553.5
18/12/2016-15:04:54,16.37068790,-25554.3
18/12/2016-15:04:55,16.37069540,-25553.8
18/12/2016-15:04:55,16.37070320,-25553.4
18/12/2016-15:04:56,16.37074200,-25551.1
18/12/2016-15:04:56,16.37070870,-25553.1
18/12/2016-15:04:57,16.37072260,-25552.2
18/12/2016-15:04:57,16.37069720,-25553.7
18/12/2016-15:04:57,16.37069920,-25553.6
18/12/2016-15:04:58,16.37069410,-25553.9
18/12/2016-15:04:58,16.37070230,-25553.4
18/12/2016-15:04:59,16.37069130,-25554.1
18/12/2016-15:04:59,16.37069670,-25553.8
18/12/2016-15:05:00,16.37067950,-25554.8
